,Year,Month,InflationRate,GasPrice,Sales,NetIncome,Assets,Equity,Volume,AdjustedClose,Date,AdjustedCloseChange,RegSales,GallonsSold,DateYM
116,2009,9,-1.3,2.609,15049.67,1277.0,162560.0,91220.0,195.3156,42.4391,2009-09-01,0.7006961878141169,45.149010000000004,17,2009-09
117,2009,10,-0.2,2.605,15873.0,1023.33,164620.0,92560.0,220.5547,46.1208,2009-10-01,8.67525465902905,47.619,18,2009-10
118,2009,11,1.8,2.706,15873.0,1023.33,164620.0,92560.0,179.0184,47.4314,2009-11-01,2.841667967598127,47.619,17,2009-11
119,2009,12,2.7,2.663,15873.0,1023.33,164620.0,92560.0,164.8068,46.7933,2009-12-01,-1.345311333842119,47.619,17,2009-12
120,2010,1,2.6,2.769,15578.33,1517.33,168930.0,96050.0,207.1505,43.8334,2010-01-01,-6.325478220172556,46.734989999999996,16,2010-01
121,2010,2,2.1,2.699,15578.33,1517.33,168930.0,96050.0,229.3928,44.3636,2010-02-01,1.2095799093841748,46.734989999999996,17,2010-02
122,2010,3,2.3,2.824,15578.33,1517.33,168930.0,96050.0,215.1335,46.5296,2010-03-01,4.882381051132015,46.734989999999996,16,2010-03
123,2010,4,2.2,2.9,16968.33,1803.0,171750.0,100290.0,207.1046,49.9719,2010-04-01,7.398086379422992,50.904990000000005,17,2010-04
124,2010,5,2.0,2.89,16968.33,1803.0,171750.0,100290.0,298.2788,45.7468,2010-05-01,-8.45495168284576,50.904990000000005,17,2010-05
125,2010,6,1.1,2.785,16968.33,1803.0,171750.0,100290.0,295.8603,42.0249,2010-06-01,-8.135869612737935,50.904990000000005,18,2010-06
126,2010,7,1.2,2.782,16204.0,1256.0,177200.0,102970.0,233.1228,47.1959,2010-07-01,12.304609886043735,48.612,17,2010-07
127,2010,8,1.1,2.783,16204.0,1256.0,177200.0,102970.0,197.9486,46.3016,2010-08-01,-1.89486798641407,48.612,17,2010-08
128,2010,9,1.1,2.757,16204.0,1256.0,177200.0,102970.0,168.2734,50.658,2010-09-01,9.408746134042872,48.612,17,2010-09
129,2010,10,1.2,2.853,17348.0,1765.0,184770.0,105810.0,177.6357,51.6267,2010-10-01,1.9122349875636502,52.044,18,2010-10
130,2010,11,1.1,2.913,17348.0,1765.0,184770.0,105810.0,213.965,51.0497,2010-11-01,-1.1176387411939999,52.044,17,2010-11
131,2010,12,1.5,3.048,17348.0,1765.0,184770.0,105810.0,157.9366,57.531,2010-12-01,12.696058938642139,52.044,17,2010-12
132,2011,1,1.6,3.148,19603.67,2070.33,194740.0,110850.0,150.552,59.8512,2011-01-01,4.032956145382485,58.811009999999996,18,2011-01
133,2011,2,2.1,3.264,19603.67,2070.33,194740.0,110850.0,181.3933,65.8978,2011-02-01,10.102721415777793,58.811009999999996,18,2011-02
134,2011,3,2.7,3.615,19603.67,2070.33,194740.0,110850.0,206.6988,68.2733,2011-03-01,3.6048244402696383,58.811009999999996,16,2011-03
135,2011,4,3.2,3.852,22198.67,2577.33,201720.0,116430.0,132.7817,69.5118,2011-04-01,1.8140327185004708,66.59600999999999,17,2011-04
136,2011,5,3.6,3.96,22198.67,2577.33,201720.0,116430.0,170.7992,67.1522,2011-05-01,-3.3945315759338683,66.59600999999999,16,2011-05
137,2011,6,3.6,3.735,22198.67,2577.33,201720.0,116430.0,175.644,65.8272,2011-06-01,-1.9731296964209548,66.59600999999999,17,2011-06
138,2011,7,3.6,3.705,20377.0,2609.67,204100.0,121680.0,142.4573,66.5825,2011-07-01,1.1473980360701859,61.131,16,2011-07
139,2011,8,3.8,3.696,20377.0,2609.67,204100.0,121680.0,314.1578,63.772,2011-08-01,-4.221079112379371,61.131,16,2011-08
140,2011,9,3.9,3.667,20377.0,2609.67,204100.0,121680.0,233.1012,59.7395,2011-09-01,-6.323308034874245,61.131,16,2011-09
141,2011,10,3.5,3.506,19492.0,1707.67,209470.0,122180.0,207.8935,67.7787,2011-10-01,13.457092878246385,58.476,16,2011-10
142,2011,11,3.4,3.443,19492.0,1707.67,209470.0,122180.0,224.7163,66.8717,2011-11-01,-1.3381785133087476,58.476,16,2011-11
143,2011,12,3.0,3.326,19492.0,1707.67,209470.0,122180.0,159.952,69.2001,2011-12-01,3.4818914428674645,58.476,17,2011-12
144,2012,1,2.9,3.44,19671.33,2157.0,214890.0,126330.0,157.2087,67.0668,2012-01-01,-3.0827990132962384,59.01399000000001,17,2012-01
145,2012,2,2.9,3.64,19671.33,2157.0,214890.0,126330.0,130.9808,71.5166,2012-02-01,6.634877465452348,59.01399000000001,16,2012-02
146,2012,3,2.7,3.907,19671.33,2157.0,214890.0,126330.0,146.9797,70.2648,2012-03-01,-1.7503628528201887,59.01399000000001,15,2012-03
147,2012,4,2.3,3.958,19849.0,2403.33,219380.0,131290.0,119.7367,69.8387,2012-04-01,-0.6064202844098077,59.547,15,2012-04
148,2012,5,1.7,3.791,19849.0,2403.33,219380.0,131290.0,162.1646,65.0111,2012-05-01,-6.912499803117754,59.547,15,2012-05
